,Source IP,Source Port,Destination IP,Destination Port,Protocol,Traffic Label,App Label
0,131.202.240.87,62089,131.202.6.26,13111,6,Chat,
1,131.202.6.26,13111,131.202.240.87,62089,6,Chat,
2,131.202.240.87,13385,64.12.24.167,443,6,Chat,
3,64.12.104.85,443,131.202.240.87,1254,6,VoIP,
4,131.202.240.87,13404,178.237.19.103,443,6,Chat,
5,131.202.240.87,13407,178.237.19.228,443,6,Chat,
6,131.202.240.87,13397,178.237.19.227,443,6,File Transfer,
7,131.202.240.87,13393,178.237.24.202,443,6,File Transfer,
8,131.202.240.87,137,131.202.243.255,137,17,Chat,
9,8.6.0.1,0,8.0.6.4,0,0,Gaming,
10,131.202.240.87,62090,131.202.6.26,13000,6,File Transfer,
11,131.202.240.87,62090,131.202.6.26,13000,6,Chat,
12,131.202.240.87,43302,77.72.169.135,11113,17,Streaming,
13,131.202.240.87,13404,178.237.19.103,443,6,File Transfer,
14,131.202.240.87,137,131.202.243.255,137,17,Gaming,
15,131.202.240.87,60954,224.0.0.252,5355,17,Chat,
16,131.202.240.87,58738,224.0.0.252,5355,17,Chat,
17,131.202.240.87,57423,224.0.0.252,5355,17,Chat,
18,131.202.240.87,58080,224.0.0.252,5355,17,Chat,
19,131.202.240.87,60194,224.0.0.252,5355,17,Chat,
20,131.202.240.87,10623,203.23.237.200,123,17,Gaming,
21,131.202.240.87,52713,224.0.0.252,5355,17,Chat,
22,131.202.240.87,59621,224.0.0.252,5355,17,Chat,
23,131.202.240.87,13393,178.237.24.202,443,6,File Transfer,
24,8.6.0.1,0,8.0.6.4,0,0,VoIP,
25,64.12.104.85,443,131.202.240.87,1254,6,Chat,
26,131.202.240.87,59876,224.0.0.252,5355,17,Chat,
27,131.202.240.87,49679,224.0.0.252,5355,17,Chat,
28,131.202.240.87,13397,178.237.19.227,443,6,File Transfer,
29,131.202.240.87,59450,131.202.244.3,53,17,Chat,
30,131.202.240.87,1258,64.12.104.73,443,6,Gaming,
31,131.202.240.87,58818,224.0.0.252,5355,17,Chat,
32,131.202.240.87,51881,224.0.0.252,5355,17,Chat,
33,131.202.240.87,62087,64.12.27.65,443,6,Gaming,
34,131.202.240.87,10622,131.202.244.3,53,17,Gaming,
35,131.202.240.87,13385,64.12.24.167,443,6,Chat,
36,131.202.240.87,13407,178.237.19.228,443,6,File Transfer,
37,131.202.240.87,59447,224.0.0.252,5355,17,Chat,
38,131.202.240.87,65008,224.0.0.252,5355,17,Chat,
39,131.202.240.87,55301,131.202.244.3,53,17,Chat,
40,131.202.240.87,13389,64.12.104.73,443,6,File Transfer,
41,131.202.240.87,61827,224.0.0.252,5355,17,Chat,
